VendorName,ItemName,Unspsc,UnspscName,Unspsc_combined,Taxonomy_id,Taxonomy_lvl1,Taxonomy_lvl2,Taxonomy combined,Spend_DKK,Currency,Scope3LVL1,Scope3LVL2,suppliers,totalspend
1358,OK a.m.b.a.,Diesel,15101505,Diesel fuel,Diesel fuel 15101505,57,Auto og reservedele,Brændstof og bilopladning,57 - Auto og reservedele,"104,45",DKK,Purchased goods,Work in progress / pending development,,
395,City Container A/S,Restaffald,76121501,Garbage collection or destruction or processing or disposal,Garbage collection or destruction or processing or disposal 76121501,4,Facilities,Bygningsvedligehold,4 - Facilities,"133,5",DKK,Waste generated,Work in progress / pending development,,
294,Brink Transport Aps,"Order 346372: Dagskørsel, Søborg/Hjørring",78101803,Vehicle carrier services,Vehicle carrier services 78101803,33,Lager og logistik,Fragt og distribution,33 - Lager og logistik,"44,55",DKK,Upstream transportation and distribution ,Work in progress / pending development,,
1433,PostNord,"MyPack Home, Danmark 0,5-01 kg",78102201,National postal delivery services,National postal delivery services 78102201,6,Facilities,Post,6 - Facilities,78,DKK,Purchased goods,Work in progress / pending development,,
1682,PL Montage Kolding Aps,Montering af 3M autofilm CS-20,78181601,Panelbeating service,Panelbeating service 78181601,54,Auto og reservedele,"Reservedele, tilbehør og forbrugsmaterialer",54 - Auto og reservedele,2800,DKK,Capital goods ,Work in progress / pending development,,
1563,SISCO TRADING ApS,Slange,39121300,Electrical boxes and enclosures and fittings and accessories,Electrical boxes and enclosures and fittings and accessories 39121300,18,Ikke Addresserbart,Generel,18 - Ikke Addresserbart,196,DKK,Purchased goods,Work in progress / pending development,,
1582,STARK Aalborg,"SPIT DRIVAR TP12 GIPSDYBEL 4,5X35MM M/SK",31162110,Self-drilling plastic anchor,Self-drilling plastic anchor 31162110,4,Facilities,Bygningsvedligehold,4 - Facilities,"270,34",DKK,Purchased goods,Work in progress / pending development,,
709,GRENKELEASING ApS,Kvartalsvis ydelse for perioden 01.07.20,78111812,Vehicle leasing of passenger vans or minivans,Vehicle leasing of passenger vans or minivans 78111812,58,Auto og reservedele,Leasing,58 - Auto og reservedele,21000,DKK,Capital Goods,Work in progress / pending development,,
1598,STENHØJ DK A/S,Hydraulikolie ISO VG 100 - i 20L. dunk,15121504,Hydraulic Oil,Hydraulic Oil 15121504,53,Auto og reservedele,Olie,53 - Auto og reservedele,"196,8",DKK,Purchased goods,Work in progress / pending development,,
1600,STRØM HANSEN A/S,Modular samleled rj45 k.6a stp,72151500,Electrical system services,Electrical system services 72151500,4,Facilities,Bygningsvedligehold,4 - Facilities,"243,7",DKK,Purchased goods,Work in progress / pending development,,
296,Brobizz A/S,2 BroPas Business,78111807,Parking fees,Parking fees 78111807,46,"Rejser, møder og konferencer",Flyrejser og transportudgifter ifbm. Rejser,"46 - Rejser, møder og konferencer",140,DKK,Buisness travel,Work in progress / pending development,,
1612,Sawo A/S,Hjælpematerialer,91111502,Laundry services,Laundry services 91111502,55,Auto og reservedele,"Bilpleje, klargøring og rustbeskyttelse",55 - Auto og reservedele,"135,53",DKK,Purchased goods,Work in progress / pending development,,
